Regio's,aantal,bevolkings_dichtheid
Aa en Hunze,25399,92.6
Aalsmeer,31991,1612.6
Aalten,27120,280.7
Achtkarspelen,27900,273.5
Alblasserdam,20136,2288.5
Albrandswaard,25814,1195.4
Alkmaar,109896,1002.8
Almelo,73132,1087.4
Almere,214715,1686.2
Alphen aan den Rijn,112587,894.4
Alphen-Chaam,10373,112.1
Altena,56352,284.1
Ameland,3746,63.5
Amersfoort,157462,2532.5
Amstelveen,90829,2245.6
Amsterdam,873338,4804.8
Apeldoorn,164781,487.2
Arnhem,162424,1676.2
Assen,68836,842
Asten,16817,243.2
Baarle-Nassau,6899,91
Baarn,24792,764.6
Barendrecht,48643,2467
Barneveld,59992,344.4
Beek (L),15875,752
Beekdaelen,36065,458.8
Beemster,10110,143.2
Beesel,13450,479.2
Berg en Dal,35010,404.7
Bergeijk,18754,186.9
Bergen (L),13108,126.9
Bergen (NH),29715,300.5
Bergen op Zoom,67514,848.9
Berkelland,43846,169.9
Bernheze,31455,353.3
Best,30216,892.3
Beuningen,26157,601
Beverwijk,41863,2287.6
De Bilt,43384,658
Bladel,20529,275
Blaricum,11954,1112.3
Bloemendaal,23478,596.4
Bodegraven-Reeuwijk,35278,474
Boekel,10959,319.4
Borger-Odoorn,25598,93.5
Borne,23668,923.2
Borsele,22818,161.4
Boxmeer,29609,265.7
Boxtel,32973,480.9
Breda,184126,1469
Brielle,17439,643
Bronckhorst,36087,127.2
Brummen,20884,249.7
Brunssum,27670,1604.4
Bunnik,15341,421.7
Bunschoten,22019,735
Buren,27009,202.9
Capelle aan den IJssel,67319,4751.5
Castricum,36086,729.6
Coevorden,35317,120
Cranendonck,21001,270.5
Cuijk,25404,1003.3
Culemborg,29121,176.6
Dalfsen,28901,224
Dantumadiel,18943,4615.1
Delft,103581,278.8
Deventer,101236,776.1
Diemen,31334,2653.9
Dinkelland,26606,151.3
Doesburg,11064,957
Doetinchem,58270,740.6
Dongen,26368,905.4
Dordrecht,119115,1521.7
Drechterland,19838,339.2
Drimmelen,27325,288.6
Dronten,42011,128.6
Druten,18991,509.5
Duiven,25066,735.8
Echt-Susteren,31751,307.9
Edam-Volendam,36268,671.2
Ede,118530,377.1
Eemnes,9362,304.4
Eersel,19528,240.4
Eijsden-Margraten,25900,332.6
Eindhoven,235691,2718.5
Elburg,23429,372
Emmen,107024,321.8
Enkhuizen,18637,1468.5
Enschede,159732,1140.1
Epe,33198,213.1
Ermelo,27016,318.3
Etten-Leur,43869,798.4
De Fryske Marren,51778,146.9
Geertruidenberg,21770,824.3
Geldrop-Mierlo,40066,1293.6
Gemert-Bakel,30760,254.1
Gennep,17035,362.1
Gilze en Rijen,26723,406.7
Goeree-Overflakkee,50589,196
Goes,38594,420.7
Goirle,23952,557.9
Gooise Meren,58524,1414.9
Gorinchem,37410,1998
Gouda,73681,4493
Grave,12486,456.4
s-Gravenhage,548320,6707.6
Groningen,233273,1266
Gulpen-Wittem,14206,193.8
Haaksbergen,24229,231.5
Haarlem,162543,5584.1
Haarlemmermeer,157789,806.8
Halderberge,30430,413.1
Hardenberg,61357,197.9
Harderwijk,48726,1256.3
Hardinxveld-Giessendam,18413,1094.7
Harlingen,15807,637.3
Hattem,12228,533.1
Heemskerk,39191,1433.1
Heemstede,27545,3002.2
Heerde,18776,241
Heerenveen,50650,268.9
Heerhugowaard,58387,1525.3
Heerlen,86936,1932.8
Heeze-Leende,16243,158.4
Heiloo,24144,1305.7
Den Helder,56582,1245
Hellendoorn,35932,260.6
Hellevoetsluis,40312,987.1
Helmond,92627,1757.6
Hendrik-Ido-Ambacht,31258,2984.2
Hengelo (O),81049,1338.4
s-Hertogenbosch,155490,1419.7
Heumen,16569,432.5
Heusden,45005,577.7
Hillegom,22197,1734.1
Hilvarenbeek,15698,166.7
Hilversum,91235,2011
Hoeksche Waard,88047,329.9
Hof van Twente,35040,164.9
Het Hogeland,47834,98.8
Hollands Kroon,48583,136.5
Hoogeveen,55603,438.1
Hoorn,73619,3646.1
Horst aan de Maas,42487,228.1
Houten,50223,916.1
Huizen,41090,2589.6
Hulst,27575,136.5
IJsselstein,33819,1586.9
Kaag en Braassem,27541,441.1
Kampen,54474,385.3
Kapelle,12882,350.7
Katwijk,65995,2668.3
Kerkrade,45442,2067.1
Koggenland,22940,286.9
Krimpen aan den IJssel,29410,3825.2
Krimpenerwaard,56622,384.5
Laarbeek,22805,414.5
Landgraaf,37262,1505.9
Landsmeer,11565,513.1
Lansingerland,63363,1200.5
Laren (NH),11398,928.8
Leeuwarden,124481,526.5
Leiden,124093,5709.7
Leiderdorp,27377,2371.4
Leidschendam-Voorburg,76433,2354.8
Lelystad,79811,352.5
Leudal,36045,220.9
Leusden,30544,524.5
Lingewaard,46822,757.6
Lisse,22982,1466.7
Lochem,33948,159.9
Loon op Zand,23504,476
Lopik,14456,192
Losser,22888,233.6
Maasdriel,25452,385.9
Maasgouw,23947,525.7
Maassluis,33567,4026.9
Maastricht,120227,2163
Medemblik,45165,374.3
Meerssen,18661,689.2
Meierijstad,81647,448.7
Meppel,34386,626
Middelburg (Z),48964,1015.6
Midden-Delfland,19414,412.8
Midden-Drenthe,33381,98.9
Midden-Groningen,60726,217.5
Moerdijk,37185,234.5
Molenlanden,44130,245.7
Montferland,36031,343.9
Montfoort,13896,367.7
Mook en Middelaar,7909,459.4
Neder-Betuwe,24648,417.4
Nederweert,17171,173.3
Nieuwegein,63866,2745.1
Nieuwkoop,29151,375.4
Nijkerk,43600,639.1
Nijmegen,177359,3375.1
Nissewaard,85440,1173.4
Noord-Beveland,7581,89.2
Noordenveld,31214,156.6
Noordoostpolder,47583,104.9
Noordwijk,44062,760
Nuenen,23702,706.8
Nunspeet,28021,219.2
Oegstgeest,25064,3488
Oirschot,18842,187.3
Oisterwijk,32373,406.4
Oldambt,38277,169.9
Oldebroek,23760,245.1
Oldenzaal,31701,1473.1
Olst-Wijhe,18361,162.5
Ommen,18295,102.7
Oost Gelre,29574,269.3
Oosterhout,56206,791
Ooststellingwerf,25464,114.9
Oostzaan,9689,836.4
Opmeer,12009,290.9
Opsterland,29812,132.7
Oss,92526,571.9
Oude IJsselstreek,39346,289.3
Ouder-Amstel,14125,589.9
Oudewater,10138,261.2
Overbetuwe,48214,442
Papendrecht,32171,3422.3
Peel en Maas,43660,277.8
Pekela,12176,248.8
Pijnacker-Nootdorp,55674,1525.1
Purmerend,81683,984.3
Putten,24365,288.7
Raalte,37911,223.1
Reimerswaal,22896,225.2
Renkum,31417,682.5
Renswoude,5556,307.2
Reusel-De Mierden,13127,170.4
Rheden,43525,531.3
Rhenen,20203,481.5
Ridderkerk,46671,1985.9
Rijssen-Holten,38204,406.2
Rijswijk (ZH),55220,4079.8
Roerdalen,20580,233.1
Roermond,58763,972.5
De Ronde Venen,44720,449.9
Roosendaal,77200,725.3
Rotterdam,651631,3012.7
Rozendaal,1726,62.9
Rucphen,23080,362.5
Schagen,46532,278.3
Scherpenzeel,10128,748.5
Schiedam,79279,4476.8
Schouwen-Duiveland,34065,148.7
Simpelveld,10477,650.3
Sint Anthonis,11691,117.8
Sint-Michielsgestel,29498,509.1
Sittard-Geleen,91743,1161
Sliedrecht,25597,2016.4
Sluis,23166,82.8
Smallingerland,56040,476.5
Soest,46906,1018.8
Someren,19428,245.4
Son en Breugel,17552,685
Stadskanaal,31754,270.7
Staphorst,17261,129
Stede Broec,21743,1513.9
Steenbergen,24310,166.2
Steenwijkerland,44341,155.2
Stein (L),24875,1176.9
Stichtse Vecht,65108,678.8
Terneuzen,54463,217.7
Terschelling,4870,58.2
Texel,13656,84.5
Teylingen,37791,1336.9
Tholen,26085,179.9
Tiel,41920,1285.6
Tilburg,221947,1773.5
Tubbergen,21315,145.3
Twenterand,33699,317.6
Tynaarlo,33978,239.1
Tytsjerksteradiel,32060,216.9
Uden,42291,630.7
Uitgeest,13632,707.8
Uithoorn,30206,1710
Urk,21227,1588.6
Utrecht,359370,3854.7
Utrechtse Heuvelrug,49946,378.7
Vaals,10084,423.8
Valkenburg aan de Geul,16365,440.3
Valkenswaard,31221,568.7
Veendam,27417,361.5
Veenendaal,66912,3477.2
Veere,21953,164.8
Veldhoven,45500,1445.7
Velsen,68617,1514.9
Venlo,101988,822
Venray,43713,269.3
Vijfheerenlanden,57829,401.6
Vlaardingen,73924,3146.3
Vlissingen,44358,1298.9
Voerendaal,12466,394.3
Voorschoten,25650,2300.4
Voorst,24790,203.3
Vught,31669,534.2
Waadhoeke,46149,162.2
Waalre,17544,787.4
Waalwijk,48815,764.2
Waddinxveen,30479,1128.5
Wageningen,39635,1312.4
Wassenaar,26949,530.3
Waterland,17312,332.7
Weert,50011,482.6
Weesp,20445,896.7
West Betuwe,51496,240.5
West Maas en Waal,19581,256.4
Westerkwartier,63678,179
Westerveld,19661,71.3
Westervoort,15014,2125.9
Westerwolde,26215,96.5
Westland,111382,1384.1
Weststellingwerf,26130,119.3
Westvoorne,14900,281.3
Wierden,24538,260.4
Wijchen,41261,624.7
Wijdemeren,24463,514.8
Wijk bij Duurstede,23925,502.4
Winterswijk,29022,211.2
Woensdrecht,22028,241.4
Woerden,52694,597
De Wolden,24374,109.2
Wormerland,16333,424.4
Woudenberg,13639,379.9
Zaanstad,156901,2127.1
Zaltbommel,29447,377.3
Zandvoort,17168,532.5
Zeewolde,22879,94.4
Zeist,65043,1359.9
Zevenaar,44096,482.1
Zoetermeer,125267,3650.3
Zoeterwoude,8843,438.8
Zuidplas,45064,789.3
Zundert,21988,184.5
Zutphen,48111,1180.1
Zwartewaterland,22823,279
Zwijndrecht,44775,2205.5
Zwolle,129840,1175.9
